X,Y,TRAPTYPE,ATTRACTANTSUSED,TRAPID,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,LATITUDE,LONGITUDE,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8575849.18842891,4719564.28100877,ABC Trap,CO2 with light,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/04/25 04:00:00+00,Morning,2016/04/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,4,3,0,2017/12/01 19:59:00+00,38.985287,-77.038164,temp_798,,{C1901EA1-CE48-47B6-943D-E96E7100481A},,,1
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/13 04:00:00+00,Morning,2016/06/15 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,50,5,0,2017/12/05 18:08:00+00,38.985287,-77.038164,temp_1825,,{EC74BE89-4EA8-42D6-A7F4-3F3BDFC87BEF},,,2
-8575849.18842891,4719564.28100877,ABC Trap,CO2 with light,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/06 04:00:00+00,Morning,2016/06/08 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,0,0,2017/12/05 16:13:00+00,38.985287,-77.038164,temp_1692,,{F577430A-0E36-4283-9F24-8F5F9BEC551A},,,3
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/09 04:00:00+00,Afternoon,2016/05/11 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,0,0,2017/12/04 18:40:00+00,38.985287,-77.038164,temp_500,,{61E5E55E-97AC-47B8-9160-B353346D3577},,,4
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/18 04:00:00+00,Morning,2016/07/20 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,23,1,0,2017/12/07 15:40:00+00,38.985287,-77.038164,temp_1635,,{0DF0BEF3-5BE9-4CB0-A9A9-45FE96294A02},,,5
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/17 04:00:00+00,Morning,2016/10/19 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,16,11,0,2017/12/12 20:23:00+00,38.985287,-77.038164,temp_1178,,{15FFDBD8-F948-4AA4-9899-B0FA81083DDB},,,6
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/08/01 04:00:00+00,Morning,2016/08/03 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,14,0,0,2017/12/07 21:38:00+00,38.985287,-77.038164,temp_1470,,{B0E2F043-C3F2-4B4A-A2C6-E6968EBF6ED3},,,7
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,19,16,0,2017/12/12 15:58:00+00,38.985287,-77.038164,temp_1842,,{DFA66D9A-06B7-4E7A-83A8-04B50E85B6F2},,,8
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Aedes,sp.,Adult,No,No,No,7,0,0,2017/12/12 15:58:00+00,38.985287,-77.038164,temp_1843,,{4B6CF83C-4ACC-439E-A302-97EEC6E2B978},,,9
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/25 04:00:00+00,Morning,2016/07/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,12,0,0,2017/12/07 19:10:00+00,38.985287,-77.038164,temp_1079,,{049B5F4E-9466-4F86-943A-227A5A732BB1},,,10
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/16 04:00:00+00,Morning,2016/05/18 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,24,0,0,2017/12/04 21:26:00+00,38.985287,-77.038164,temp_707,,{5A09A666-80B1-499B-8544-E18AF64EAB32},,,11
-8575849.18842891,4719564.28100877,ABC Trap,CO2 with light,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/23 04:00:00+00,Morning,2016/05/25 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,8,0,0,2017/12/04 22:37:00+00,38.985287,-77.038164,temp_1087,,{3C08DC79-ABD1-4D8C-815B-B75C6129183F},,,12
-8575849.18842891,4719564.28100877,ABC Trap,CO2 with light,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/02 04:00:00+00,Morning,2016/05/04 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,3,1,0,2017/12/01 21:21:00+00,38.985287,-77.038164,temp_1571,,{8B48C95E-9086-497D-986D-38C50A3390CA},,,13
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/03 04:00:00+00,Morning,2016/10/05 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,10,6,0,2017/12/12 17:12:00+00,38.985287,-77.038164,temp_819,,{1F672AF4-EE07-4801-9708-A0449014B617},,,14
-8575849.18842891,4719564.28100877,ABC Trap,CO2 with light,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/30 04:00:00+00,Morning,2016/06/01 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,5,0,0,2017/12/04 23:55:00+00,38.985287,-77.038164,temp_1365,,{AAAF92DB-FD5C-4875-BCCB-6BFFEF5A055A},,,15
-8575849.18842891,4719564.28100877,Gravid Trap,Hay or grass infusion,4B,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/05 04:00:00+00,Morning,2016/07/07 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,64,1,0,2017/12/06 16:05:00+00,38.985287,-77.038164,temp_576,,{F7E7879B-595C-4EF2-AED9-5674E510920D},,,16
